input1	input2	input3	label
f	m	vkm	vkmf
k	z	pnz	pnzk
x	c	qcb	qcxb
e	s	dnbs	dnbse
f	x	bnlx	bnlxf
x	h	brhv	brhxv
b	f	ndf	ndfb
q	g	gfq	gqfq
s	x	dxn	dxsn
v	b	bpsd	bvpsd
k	d	lhvd	lhvdk
j	t	pwt	pwtj
h	h	qcnh	qcnhh
x	j	jmh	jxmh
q	x	vxcg	vxqcg
d	k	kgc	kdgc
w	d	dsnq	dwsnq
e	f	rcsf	rcsfe
s	d	dkm	dskm
n	h	gbhrs	gbhnrs
s	h	svhz	svhsz
o	t	tws	tows
f	r	mrbksx	mrfbksx
p	z	fhpz	fhpzp
m	m	mxl	mmxl
f	s	svt	sfvt
x	w	ngw	ngwx
z	t	tmwbd	tzmwbd
x	p	nkxpztgdjhc	nkxpxztgdjhc
v	l	lhdm	lvhdm
l	n	jfnz	jfnlz
c	j	zgjp	zgjcp
t	w	dwf	dwtf
c	m	lvkm	lvkmc
x	c	mwlhc	mwlhcx
o	x	lxnrm	lxonrm
w	l	plmk	plwmk
i	v	jrv	jrvi
r	r	drt	drrt
w	r	rxs	rwxs
s	q	qtpcw	qstpcw
f	r	vhr	vhrf
n	c	scjx	scnjx
m	r	crm	crmm
k	z	cbdz	cbdzk
j	x	qnlkzxc	qnlkzxjc
y	r	vgpr	vgpry
m	c	cdgzhwvp	cmdgzhwvp
k	c	cwj	ckwj
y	v	zvb	zvyb
u	n	snfm	snufm
c	x	xhp	xchp
v	p	pksb	pvksb
s	d	ndg	ndsg
b	d	kmpd	kmpdb
h	x	wgvhxb	wgvhxhb
d	v	vrsqp	vdrsqp
f	f	khzf	khzff
x	h	ktzsh	ktzshx
s	x	xlt	xslt
q	v	vctm	vqctm
y	j	tlvzjmpf	tlvzjympf
o	k	kxnd	koxnd
x	t	tbfrd	txbfrd
l	c	dmxjc	dmxjcl
x	p	vgp	vgpx
m	h	nhgx	nhmgx
d	p	fjmprvk	fjmpdrvk
c	z	jlzx	jlzcx
b	q	ghxq	ghxqb
q	k	tpbkn	tpbkqn
i	q	qgfr	qigfr
a	x	wpxc	wpxac
g	n	ncp	ngcp
u	w	vqmwjs	vqmwujs
o	d	dmg	domg
q	j	jnhq	jqnhq
d	l	kmlv	kmldv
m	n	snjr	snmjr
w	z	dsbz	dsbzw
n	m	nsmld	nsmnld
q	p	qpjv	qpqjv
m	x	sxt	sxmt
e	t	lztq	lzteq
z	n	mqncr	mqnzcr
h	f	gtf	gtfh
y	g	xqkgpm	xqkgypm
s	k	khsqg	kshsqg
o	l	lkgr	lokgr
s	g	chzg	chzgs
h	f	wrfz	wrfhz
b	t	trqs	tbrqs
y	r	pzrf	pzryf
e	z	lsnzchrg	lsnzechrg
k	w	npgdw	npgdwk
j	s	sbp	sjbp
z	d	jqfd	jqfdz
p	z	fwpz	fwpzp
x	h	jrvh	jrvhx
p	g	jkpgqb	jkpgpqb
m	z	zhflqdc	zmhflqdc
e	d	krqdls	krqdels
f	h	nhws	nhfws
c	b	bjl	bcjl
d	w	kqwf	kqwdf
n	j	jzl	jnzl
x	t	hntprk	hntxprk
g	l	qlrtpm	qlgrtpm
x	j	pbjk	pbjxk
r	c	hnfvcd	hnfvcrd
d	m	cmrqvxpzt	cmdrqvxpzt
u	j	czpthrmvj	czpthrmvju
u	s	dsxfwmt	dsuxfwmt
v	t	xjqtsbd	xjqtvsbd
j	p	cplzj	cpjlzj
y	s	svgl	syvgl
a	n	znktgfqc	znaktgfqc
b	j	mlpj	mlpjb
e	r	mtr	mtre
i	h	vrxh	vrxhi
l	r	vrzms	vrlzms
g	c	cpfj	cgpfj
j	v	skldv	skldvj
x	l	kqjl	kqjlx
e	j	xdjtwf	xdjetwf
w	f	knvftx	knvfwtx
j	v	mvqfh	mvjqfh
l	f	mwfp	mwflp
n	l	xpzklr	xpzklnr
o	b	xbklnjz	xboklnjz
j	m	cmgb	cmjgb
q	j	rpqjh	rpqjqh
t	v	fvb	fvtb
v	d	tdshgw	tdvshgw
w	c	dcrxm	dcwrxm
w	t	htxzg	htwxzg
f	p	pqxv	pfqxv
o	z	zfmphrg	zofmphrg
d	m	lmkn	lmdkn
g	s	shgfq	sghgfq
c	c	ktlhqcv	ktlhqccv
f	n	fnqj	fnfqj
x	t	dkspt	dksptx
v	l	lxq	lvxq
s	q	cqfr	cqsfr
u	t	wkft	wkftu
s	m	bxkm	bxkms
i	s	cszf	csizf
t	x	hxpd	hxtpd
y	n	npw	nypw
q	x	bxdzr	bxqdzr
w	w	vjwxhnq	vjwwxhnq
c	j	ngtfjksv	ngtfjcksv
e	q	qgjnspkrcl	qegjnspkrcl
q	f	lprfwdx	lprfqwdx
f	d	nbdh	nbdfh
q	t	qvtd	qvtqd
m	v	vmt	vmmt
j	d	fdlqcwg	fdjlqcwg
o	q	rzbmjwq	rzbmjwqo
r	r	mrfq	mrrfq
i	m	dhmz	dhmiz
e	j	jtlkq	jetlkq
c	d	wdk	wdck
g	l	kcbl	kcblg
z	p	gskvwrchpd	gskvwrchpzd
r	d	dfwg	drfwg
l	k	bwhks	bwhkls
r	m	jmcdv	jmrcdv
t	f	nhzpjf	nhzpjft
q	v	zwvdc	zwvqdc
u	x	vrpx	vrpxu
i	g	bgqc	bgiqc
g	v	lvsgzfrkjxnpb	lvgsgzfrkjxnpb
k	x	xdvctm	xkdvctm
j	f	fgbz	fjgbz
e	m	drmj	drmej
l	q	pqdnv	pqldnv
a	r	wrjmlh	wrajmlh
z	x	ncthkjqx	ncthkjqxz
n	s	hwsx	hwsnx
z	k	kcpbrtvzjqg	kzcpbrtvzjqg
r	j	dqtkjx	dqtkjrx
e	v	jgv	jgve
z	m	mbkfrw	mzbkfrw
f	p	tznrfps	tznrfpfs
b	k	khlf	kbhlf
h	l	xstwl	xstwlh
a	c	vcgkzp	vcagkzp
g	s	prngcs	prngcsg
x	q	vkq	vkqx
k	z	glzj	glzkj
m	r	drvnj	drmvnj
h	r	gzqr	gzqrh
r	s	sbnmdlk	srbnmdlk
l	g	vjckg	vjckgl
y	p	vpxmw	vpyxmw
j	g	nmxgv	nmxgjv
f	s	ghqwcsv	ghqwcsfv
d	q	cqxljv	cqdxljv
w	l	jmwxglvbn	jmwxglwvbn
y	w	qflxwznd	qflxwyznd
h	m	bmq	bmhq
e	d	drhskp	derhskp
e	d	ldvx	ldevx
a	q	jdrwqb	jdrwqab
l	p	tmkgpvqr	tmkgplvqr
l	w	zhkmlwp	zhkmlwlp
w	j	cplkwrfvj	cplkwrfvjw
r	h	hzsbrw	hrzsbrw
h	r	vrdlnf	vrhdlnf
n	r	bvcr	bvcrn
o	h	hdzs	hodzs
c	p	jxpmr	jxpcmr
j	b	wbj	wbjj
c	r	wfdrnlbk	wfdrcnlbk
j	f	fqpdwsnl	fjqpdwsnl
r	j	lzjvrhp	lzjrvrhp
z	r	vwjrxkg	vwjrzxkg
i	j	mqsjx	mqsjix
y	d	rkgdfl	rkgdyfl
y	v	tbvh	tbvyh
t	z	gzskx	gztskx
c	q	fvqn	fvqcn
v	q	cqxz	cqvxz
m	n	qnfc	qnmfc
x	v	vsbmj	vxsbmj
x	v	rkvgs	rkvxgs
j	q	qlwbdft	qjlwbdft
n	x	pxszgh	pxnszgh
k	h	nxmtchz	nxmtchkz
m	k	pvmqk	pvmqkm
y	c	cvtzj	cyvtzj
k	q	qzwrk	qkzwrk
v	l	lhgk	lvhgk
t	t	wjtq	wjttq
l	n	xjnz	xjnlz
j	k	dskc	dskjc
c	b	xdbj	xdbcj
z	v	fvzgn	fvzzgn
s	x	kqsjxrpgdc	kqsjxsrpgdc
c	c	qxscw	qxsccw
b	m	mrsz	mbrsz
q	l	dslzcqf	dslqzcqf
g	f	fwbh	fgwbh
d	k	rwxkt	rwxkdt
c	w	gjvwlpr	gjvwclpr
d	c	hgvdfck	hgvdfcdk
z	s	nsc	nszc
t	n	bvncw	bvntcw
h	j	zwpjlm	zwpjhlm
o	h	vgkhc	vgkhoc
m	q	spjzqhd	spjzqmhd
v	n	jgbtrnkx	jgbtrnvkx
g	z	snbz	snbzg
t	r	rfgnpj	rtfgnpj
p	x	nzxdhmjp	nzxpdhmjp
w	j	zvjfp	zvjwfp
g	z	zpvj	zgpvj
e	f	vzxnfdg	vzxnfedg
g	v	zkcqv	zkcqvg
y	q	snpql	snpqyl
t	d	fwdn	fwdtn
l	x	vqlxbnp	vqlxlbnp
t	v	vxpn	vtxpn
m	r	xrhndtsl	xrmhndtsl
j	k	khctdgm	kjhctdgm
c	f	zrfmg	zrfcmg
b	t	rjsth	rjstbh
v	h	trxkh	trxkhv
c	f	fqk	fcqk
e	k	rktvmpjql	rketvmpjql
s	d	dljxhbmz	dsljxhbmz
w	j	jqv	jwqv
x	s	dtkxscm	dtkxsxcm
o	x	sxl	sxol
c	x	lbdjkx	lbdjkxc
t	d	gxdfl	gxdtfl
v	l	nkrlb	nkrlvb
d	g	lfkgcxqhs	lfkgdcxqhs
z	j	znjxhsb	znjzxhsb
a	j	smjdg	smjadg
i	l	wlv	wliv
m	v	kntwv	kntwvm
j	x	xtd	xjtd
k	g	bgkjnld	bgkkjnld
l	q	qlmfn	qllmfn
d	t	btrmxhs	btdrmxhs
u	q	qfsxkldn	qufsxkldn
v	n	ntwz	nvtwz
i	l	lvq	livq
d	t	lhjfsvgt	lhjfsvgtd
h	z	zmrvt	zhmrvt
o	t	gqktrdhcl	gqktordhcl
l	g	vbghx	vbglhx
u	t	rtkz	rtukz
k	q	rfqxzhgjm	rfqkxzhgjm
t	f	cfvbd	cftvbd
o	c	chmjdnpk	cohmjdnpk
r	x	xnkdvz	xrnkdvz
x	k	kjgrs	kxjgrs
c	f	fmcb	fcmcb
a	q	zpqtm	zpqatm
f	g	brwngd	brwngfd
q	z	jzsk	jzqsk
z	h	cgsxhkpnfr	cgsxhzkpnfr
c	d	zsbtwqdg	zsbtwqdcg
e	l	qlzwcb	qlezwcb
a	t	tql	taql
x	h	cbrhdj	cbrhxdj
w	g	mhrpsgzj	mhrpsgwzj
a	h	hkxgsmpf	hakxgsmpf
r	q	pfkqmrb	pfkqrmrb
m	c	chdbp	cmhdbp
p	x	xjcmv	xpjcmv
d	c	gfcdn	gfcddn
q	g	kzwxmsg	kzwxmsgq
j	m	vrfhpmk	vrfhpmjk
o	s	lrzxkmcs	lrzxkmcso
x	n	cvkn	cvknx
t	t	wxztfh	wxzttfh
v	b	jwbc	jwbvc
x	f	wfk	wfxk
b	w	fbjw	fbjwb
q	r	xprl	xprql
z	v	mkwv	mkwvz
s	b	tvbxn	tvbsxn
b	h	hbrqg	hbbrqg
g	t	vlckzdtjnm	vlckzdtgjnm
z	m	gftmx	gftmzx
e	d	lfqjprnhwdz	lfqjprnhwdez
r	c	xcj	xcrj
a	v	vdnplhfjz	vadnplhfjz
g	v	qvgbpdk	qvggbpdk
w	f	ftk	fwtk
a	j	xwqjn	xwqjan
f	l	kplxmvzs	kplfxmvzs
q	r	hrtsc	hrqtsc
i	r	qwzcr	qwzcri
o	v	rwpfv	rwpfvo
r	z	zhksrvg	zrhksrvg
w	t	bcztv	bcztwv
t	w	wqnjkpd	wtqnjkpd
a	j	mkqjhtx	mkqjahtx
b	t	qtmdjwx	qtbmdjwx
g	h	nqdchfv	nqdchgfv
i	x	sxcvlt	sxicvlt
j	j	qkjsx	qkjjsx
f	c	pskc	pskcf
m	z	zxbhr	zmxbhr
p	s	rjs	rjsp
x	j	nrdjh	nrdjxh
l	f	gfmtklrn	gflmtklrn
m	l	jbpkvlxc	jbpkvlmxc
h	g	bjqgtph	bjqghtph
i	c	npcbtq	npcibtq
y	v	mxhrpbv	mxhrpbvy
a	j	xjsdrzk	xjasdrzk
w	d	jdhbz	jdwhbz
d	b	ldnbhmw	ldnbdhmw
z	n	vbnk	vbnzk
z	v	fjv	fjvz
m	j	jhqb	jmhqb
f	x	gshx	gshxf
t	n	znvdlcw	zntvdlcw
q	d	mvzd	mvzdq
p	f	fghnsw	fpghnsw
k	b	fbrxsg	fbkrxsg
r	d	mzwdcflvt	mzwdrcflvt
z	m	nzwmq	nzwmzq
x	t	pgntr	pgntxr
k	l	qwld	qwlkd
t	t	kgjxqt	kgjxqtt
t	f	vpftc	vpfttc
n	g	gzlfdp	gnzlfdp
g	f	dfj	dfgj
w	w	bwqslf	bwwqslf
u	z	wzfhnls	wzufhnls
p	z	cxtz	cxtzp
l	r	rmtb	rlmtb
x	b	blhcp	bxlhcp
j	v	kdvmslrw	kdvjmslrw
u	l	qbl	qblu
h	n	knzfhb	knhzfhb
b	d	hxrgd	hxrgdb
m	g	sgfr	sgmfr
j	h	phvjtxl	phjvjtxl
y	g	gfj	gyfj
j	h	cnpjqsmhdt	cnpjqsmhjdt
f	b	grznjvkb	grznjvkbf
y	r	qcfr	qcfry
o	j	grkjx	grkjox
i	x	mxdf	mxidf
w	c	ldqfcgz	ldqfcwgz
v	n	zncq	znvcq
h	b	tpbv	tpbhv
d	s	vsgxjz	vsdgxjz
w	b	kcb	kcbw
v	h	hcldvgrwtz	hvcldvgrwtz
d	j	bgjmpn	bgjdmpn
s	k	gktlbnm	gkstlbnm
w	x	vsxlwr	vsxwlwr
p	f	fsv	fpsv
h	b	btxgqf	bhtxgqf
v	j	sxjt	sxjvt
q	g	qvcnrwlg	qvcnrwlgq
z	l	mtlg	mtlzg
o	r	rjfl	rojfl
b	d	qcpvd	qcpvdb
y	z	hsnzqgk	hsnzyqgk
z	j	frnpj	frnpjz
