input1	input2	label
l	the	No
n	and	Yes
n	for	No
x	that	No
f	this	No
i	with	Yes
q	you	No
t	not	Yes
z	are	No
r	from	Yes
u	your	Yes
x	all	No
v	have	Yes
o	new	No
e	more	Yes
v	was	No
y	will	No
o	home	Yes
h	can	No
t	about	Yes
t	page	No
h	has	Yes
u	search	No
f	free	Yes
u	but	Yes
o	our	Yes
r	one	No
o	other	Yes
y	information	No
f	time	No
d	they	No
f	site	No
y	may	Yes
x	what	No
h	which	Yes
a	their	No
s	news	Yes
u	out	Yes
s	use	Yes
v	any	No
e	there	Yes
s	see	Yes
n	only	Yes
b	his	No
z	when	No
a	contact	Yes
m	here	No
j	business	No
c	who	No
y	web	No
c	also	No
n	now	Yes
q	help	No
g	get	Yes
u	view	No
l	online	Yes
s	first	Yes
i	been	No
l	would	Yes
o	how	Yes
w	were	Yes
e	services	Yes
s	some	Yes
r	these	No
d	click	No
t	its	Yes
l	like	Yes
e	service	Yes
t	than	Yes
i	find	Yes
e	price	Yes
c	date	No
b	back	Yes
p	top	Yes
l	people	Yes
n	had	No
s	list	Yes
i	name	No
t	just	Yes
v	over	Yes
v	state	No
r	year	Yes
y	day	Yes
t	into	Yes
z	email	No
d	two	No
u	health	No
d	world	Yes
a	next	No
b	used	No
x	work	No
d	last	No
t	most	Yes
p	products	Yes
c	music	Yes
q	buy	No
d	data	Yes
c	make	No
b	them	No
a	should	No
o	product	Yes
l	system	No
b	post	No
r	her	Yes
y	city	Yes
a	add	Yes
o	policy	Yes
q	number	No
i	such	No
c	please	No
r	available	No
o	copyright	Yes
u	support	Yes
g	message	Yes
m	after	No
s	best	Yes
c	software	No
v	then	No
n	jan	Yes
o	good	Yes
v	video	Yes
l	well	Yes
t	where	No
i	info	Yes
t	rights	Yes
p	public	Yes
b	books	Yes
h	high	Yes
c	school	Yes
x	through	No
e	each	Yes
h	links	No
s	she	Yes
z	review	No
s	years	Yes
o	order	Yes
r	very	Yes
w	privacy	No
b	book	Yes
t	items	Yes
q	company	No
e	read	Yes
h	group	No
o	sex	No
n	need	Yes
f	many	No
w	user	No
a	said	Yes
t	does	No
o	set	No
d	under	Yes
n	general	Yes
t	research	No
y	university	Yes
g	january	No
l	mail	Yes
l	full	Yes
a	map	Yes
l	reviews	No
a	program	Yes
o	life	No
v	know	No
s	games	Yes
v	way	No
t	days	No
a	management	Yes
t	part	Yes
i	could	No
n	great	No
i	united	Yes
b	hotel	No
a	real	Yes
e	item	Yes
i	international	Yes
w	center	No
e	ebay	Yes
x	must	No
c	store	No
t	travel	Yes
t	comments	Yes
m	made	Yes
p	development	Yes
p	report	Yes
o	off	Yes
e	member	Yes
i	details	Yes
x	line	No
g	terms	No
f	before	Yes
l	hotels	Yes
d	did	Yes
t	send	No
i	right	Yes
u	type	No
g	because	No
h	local	No
z	those	No
h	using	No
u	results	Yes
i	office	Yes
b	education	No
r	national	No
c	car	Yes
d	design	Yes
s	take	No
s	posted	Yes
i	internet	Yes
s	address	Yes
u	community	Yes
h	within	Yes
u	states	No
e	area	Yes
e	want	No
m	phone	No
d	dvd	Yes
h	shipping	Yes
j	reserved	No
a	subject	No
z	between	No
b	forum	No
i	family	Yes
n	long	Yes
z	based	No
t	code	No
h	show	Yes
p	even	No
e	black	No
i	check	No
p	special	Yes
r	prices	Yes
d	website	No
i	index	Yes
v	being	No
o	women	Yes
c	much	Yes
x	sign	No
f	file	Yes
s	link	No
n	open	Yes
q	today	No
n	technology	Yes
o	south	Yes
c	case	Yes
j	project	Yes
y	same	No
e	pages	Yes
c	version	No
o	section	Yes
u	own	No
t	found	No
t	sports	Yes
s	house	Yes
n	related	No
d	security	No
e	both	No
n	county	Yes
m	american	Yes
w	photo	No
a	game	Yes
e	members	Yes
f	power	No
u	while	No
e	care	Yes
p	network	No
o	down	Yes
e	computer	Yes
u	systems	No
t	three	Yes
h	total	No
w	place	No
o	end	No
u	following	No
u	download	No
m	him	Yes
h	without	Yes
q	per	No
a	access	Yes
y	think	No
r	north	Yes
s	resources	Yes
e	current	Yes
o	posts	Yes
h	big	No
e	media	Yes
w	law	Yes
c	control	Yes
a	water	Yes
c	history	No
i	pictures	Yes
i	size	Yes
v	art	No
u	personal	No
q	since	No
i	including	Yes
p	guide	No
d	shop	No
d	directory	Yes
z	board	No
n	location	Yes
c	change	Yes
v	white	No
e	text	Yes
m	small	Yes
t	rating	Yes
e	rate	Yes
u	government	No
s	children	No
c	during	No
r	usa	No
u	return	Yes
