input1	input2	label
a	lqj	No
h	hnk	Yes
w	wch	Yes
q	mkqt	Yes
w	sjwb	Yes
u	bntg	No
g	zgd	Yes
u	vtf	No
w	wtd	Yes
w	wzhr	Yes
i	xpdj	No
c	vdc	Yes
o	vwlf	No
s	gpq	No
n	nkvt	Yes
l	pgb	No
j	xtqj	Yes
w	gjwv	Yes
j	pzm	No
c	jbpxm	No
m	wqms	Yes
q	kqx	Yes
i	rjmlpc	No
j	zxpj	Yes
t	tfs	Yes
k	rxb	No
d	qzf	No
u	klscb	No
q	cgnkhtxwrlv	No
m	qvbp	No
y	gdrl	No
q	lzqj	Yes
w	fnw	Yes
n	nthr	Yes
i	pwvcb	No
t	tbpzf	Yes
s	mphs	Yes
v	nlv	Yes
r	rms	Yes
k	fkm	Yes
f	bjzps	No
d	zjn	No
q	qkwx	Yes
x	bcz	No
d	tkvd	Yes
h	sxchkpd	Yes
v	mngj	No
f	fvhltcpj	Yes
t	ntz	Yes
q	mnq	Yes
l	tcxl	Yes
p	vpg	Yes
i	bmlf	No
j	nzp	No
x	szxq	Yes
b	mvbfrl	Yes
s	spjzc	Yes
l	kwcm	No
a	zlqfn	No
w	npw	Yes
j	tdzj	Yes
v	zhnvfsqb	Yes
n	cjhb	No
x	xcrkl	Yes
h	vfdqp	No
h	dqn	No
b	zgbw	Yes
k	fzstvgq	No
d	ldjx	Yes
f	htjw	No
y	cnvdk	No
l	drlz	Yes
j	ncbj	Yes
k	mwk	Yes
n	nmjrtd	Yes
r	dhc	No
i	mfpj	No
d	kprd	Yes
s	jnsb	Yes
u	vfzq	No
j	cqzvm	No
s	mqcb	No
r	qbn	No
b	vkdm	No
u	kdxbg	No
c	dcp	Yes
m	mbhkzr	Yes
s	rmnks	Yes
e	tnhw	No
h	zvmh	Yes
f	tfgw	Yes
q	kqjc	Yes
o	vdcq	No
x	qcdhkjmg	No
a	jlqbw	No
j	pkh	No
x	xmsz	Yes
w	lxqw	Yes
s	rtfc	No
y	vnphbq	No
d	rbphmlt	No
s	dcqnvt	No
b	wlsb	Yes
a	jbs	No
f	zlrm	No
v	pvj	Yes
w	hwtmgr	Yes
c	qhzfcw	Yes
x	mqwl	No
c	rkcxmz	Yes
i	lzrchxtgk	No
d	ndftzwbgc	Yes
p	jpbknzw	Yes
l	vlbkjnh	Yes
d	hgcdp	Yes
w	rtlx	No
o	qcrztvmw	No
n	lqnd	Yes
y	rpj	No
v	gvxk	Yes
w	ghvfz	No
a	rjfq	No
j	nptsj	Yes
k	xkbh	Yes
w	vqglwn	Yes
u	dmvtfs	No
l	sbfjp	No
p	pfkd	Yes
p	hdflsg	No
m	jhwvbgr	No
z	nrzm	Yes
k	gmcqp	No
y	vqw	No
u	xgnzcq	No
s	tqmhp	No
w	frwsd	Yes
m	mdxq	Yes
q	hbwfqnz	Yes
q	smkg	No
h	gvfht	Yes
q	nhxcbsr	No
b	bclz	Yes
z	cpnzg	Yes
u	lkc	No
w	dbfk	No
i	hbgx	No
w	wtvs	Yes
h	pthl	Yes
x	gtrd	No
o	xhb	No
t	wjckb	No
c	jbgdzmt	No
r	jkqcpgnv	No
u	xtqlbpcsfz	No
m	zmqlxbs	Yes
t	fcvt	Yes
g	gbxw	Yes
r	dmr	Yes
s	djstlbf	Yes
g	vkhcrms	No
b	ltsn	No
n	hfdn	Yes
o	jrlmw	No
s	jbs	Yes
n	zhpf	No
i	spmtghfkdq	No
f	tbjc	No
v	hdtnl	No
y	bcjrz	No
p	nspvqc	Yes
p	xvdml	No
r	hdbq	No
f	fwtz	Yes
r	cbfdlxgzsphmn	No
x	xpknbw	Yes
g	gsxq	Yes
m	grfm	Yes
i	rvqls	No
v	ktvhbg	Yes
h	plzqwkfb	No
s	zcst	Yes
n	nfcjvhqxlbz	Yes
p	wnjtbx	No
c	sqc	Yes
r	hfjxcr	Yes
n	jfdlxnz	Yes
r	wxsp	No
h	sdfrc	No
e	cjxfzr	No
m	prgzxk	No
n	nwj	Yes
z	tbvm	No
d	kzrtl	No
c	mctb	Yes
r	btpjqzd	No
k	jxkvq	Yes
s	kshrq	Yes
u	rsplv	No
m	mbkzxph	Yes
r	rwnzvq	Yes
w	lsbfmqrjx	No
i	njcfhbrp	No
c	wcx	Yes
g	gtbnlw	Yes
q	htxg	No
p	xqrkcp	Yes
b	zblxcdrf	Yes
f	jmcwlnb	No
m	ztgcksmrp	Yes
g	qzkmdr	No
u	nlgzwt	No
o	zvsw	No
s	bngs	Yes
b	lmwjc	No
q	qld	Yes
y	rdxwtgpv	No
m	mkzcwlgt	Yes
d	sxthlwb	No
x	qjdslkm	No
z	cmkxb	No
l	lrvwqs	Yes
g	pxgb	Yes
e	khtmq	No
o	ftwc	No
s	hglk	No
m	hqzm	Yes
z	bzfmp	Yes
j	dxlvj	Yes
o	kntmrxh	No
z	gxwvzb	Yes
q	qprlsbh	Yes
g	xrjlv	No
g	gfrjn	Yes
v	fnwlz	No
z	gwkx	No
g	crvw	No
i	zqwv	No
u	gmhc	No
c	cjdp	Yes
x	lwnmz	No
h	mbgwnqcrdz	No
m	ftvwh	No
q	klcg	No
h	nkhlcqf	Yes
d	kfng	No
u	kqsdl	No
o	mrckgfv	No
d	gmlwrsd	Yes
m	lfh	No
w	tfbvn	No
p	gqjwzf	No
t	txmzk	Yes
b	jblzcdq	Yes
v	rpbfqjsv	Yes
c	qlnb	No
w	jsbkfq	No
v	cfvsmkjd	Yes
d	dclpt	Yes
u	fdmw	No
d	frnxzsd	Yes
t	slvft	Yes
y	gknqb	No
m	wlrg	No
i	snzcgwf	No
v	dcfv	Yes
f	fmjctbxh	Yes
n	lpqnzvf	Yes
l	tfpdx	No
p	dnprj	Yes
b	dtwpb	Yes
g	cgr	Yes
z	mfqhtgndv	No
l	rldtwjvm	Yes
t	rwp	No
d	jblpvqf	No
x	pbc	No
b	lwzvfh	No
q	pqkhv	Yes
r	dbfkc	No
e	mzrsgpwkf	No
m	zsvjcxt	No
l	fnqtl	Yes
z	qcz	Yes
l	qgjsf	No
h	khd	Yes
t	wdjtbvg	Yes
j	stckm	No
m	szmfvqh	Yes
s	jfgkmsqz	Yes
v	glpr	No
s	skw	Yes
m	rtcsbjzx	No
v	jvbhm	Yes
g	pfwkrjdsl	No
m	vzrtx	No
j	qhjb	Yes
m	vtzhjlkmq	Yes
s	djlqs	Yes
t	twnrmpxv	Yes
g	nlbgvc	Yes
r	crbkq	Yes
f	gnhs	No
j	njxfk	Yes
o	cghdxs	No
q	bxgq	Yes
e	wcxghlqrkb	No
g	jqxlfmps	No
f	cvwbzf	Yes
n	lrs	No
g	lsvxgk	Yes
v	jfvrgnkl	Yes
g	dckwfqzs	No
x	bnpltgc	No
o	nhtkl	No
q	lfhgp	No
p	sfxzc	No
s	sqhrjlk	Yes
p	rvbpmqc	Yes
b	pxzksbtq	Yes
s	dxhg	No
q	kdvqmz	Yes
w	bwsk	Yes
p	ptx	Yes
z	czfq	Yes
q	jqdc	Yes
e	htpj	No
k	tsnwd	No
k	vrxms	No
q	rqxzctdljh	Yes
u	nhmqs	No
a	kfwvbnhrzjp	No
b	nbt	Yes
n	gjpqbnhlw	Yes
h	hqljrns	Yes
p	cpx	Yes
b	nhswp	No
j	jfvbhwlr	Yes
b	tbdcw	Yes
s	srtnf	Yes
o	trlwn	No
g	vgcltdj	Yes
g	jlmvs	No
r	nltrkmz	Yes
m	lktfbmh	Yes
b	mkqgbsr	Yes
w	zkjdxnc	No
b	qbgnkt	Yes
q	nfxlh	No
h	brxz	No
m	tqcfz	No
l	klh	Yes
r	sgwkr	Yes
l	tcdgzqln	Yes
n	rnpxkhmz	Yes
u	phlsdxq	No
m	bjpwxq	No
j	sfhnqzx	No
q	mjtxshk	No
g	wqnkg	Yes
z	vfbztkq	Yes
l	gbjm	No
c	zlc	Yes
g	hxzg	Yes
h	gsnh	Yes
q	pvcqxmf	Yes
d	ncsv	No
g	gbcpzf	Yes
m	nwjftm	Yes
m	trgspjxwc	No
h	phwlv	Yes
r	zmfcr	Yes
p	swpx	Yes
q	rtlfjx	No
k	wcdzj	No
v	rfqpdm	No
w	mwl	Yes
r	rxjpgm	Yes
l	lqvpfmg	Yes
d	mfcp	No
f	lsnb	No
j	pjdrw	Yes
z	cgrnvhdt	No
v	thv	Yes
g	kvgcqr	Yes
n	nhcfk	Yes
q	ftzv	No
h	phfqldb	Yes
h	vhc	Yes
c	nkcwqfzmjv	Yes
h	wqxjhlgn	Yes
g	mdng	Yes
e	zvrsf	No
k	gmfx	No
f	gbdcfqt	Yes
u	zxvm	No
s	srdq	Yes
q	crjktd	No
b	bhg	Yes
c	zcgfpwxbdn	Yes
t	zwlphj	No
h	gshvkfd	Yes
g	rjhfqg	Yes
t	bsm	No
m	spnwdf	No
d	dnsx	Yes
t	tsmbqcxh	Yes
a	qcmg	No
w	rxkq	No
v	kzmvr	Yes
f	bflngpt	Yes
x	jhxzs	Yes
i	tbczvxlr	No
g	gkrsxdp	Yes
o	bmtp	No
j	mfhvdsw	No
x	gmxrwvdc	Yes
w	zbwldj	Yes
h	vlpszmg	No
w	qbdghx	No
z	rskzxv	Yes
b	tbknh	Yes
y	mrfxpq	No
i	twcjn	No
p	rkbpfjgv	Yes
d	dsp	Yes
k	bwntdmhc	No
v	fhvj	Yes
f	lqdgh	No
c	wbqhnvpt	No
f	nwk	No
r	zxkjqgrc	Yes
v	tglbdv	Yes
m	vmx	Yes
w	xbfqwvcpgns	Yes
r	nxmw	No
w	hdljs	No
z	vjhgrt	No
j	plvqj	Yes
r	hdjbwzfvr	Yes
b	vzcbwl	Yes
v	vmp	Yes
v	qvmnrskzf	Yes
c	kqfc	Yes
h	wgmlk	No
l	zwlhg	Yes
w	dlkhwsx	Yes
c	bcsp	Yes
s	mnzcsf	Yes
t	xktp	Yes
s	cst	Yes
o	mgkldc	No
m	tgljq	No
m	sjdvtnpbrcm	Yes
v	kfmx	No
h	zdvqh	Yes
b	bdxtwrpm	Yes
h	wpr	No
