input1	input2	label
simple	The octopus smiled.	No
key	When she finished, she hung the collage on the wall.	No
color	He squirmed and giggled, feeling so spoiled and loved.	No
come	They waited and waited for the car to come.	Yes
found	He found a shiny medal!	Yes
They	They wanted to surf, but they couldn't.	Yes
there	She wanted to go there and smell them.	Yes
dad	This time he was going with his mum and dad.	Yes
because	In this town, there was an old house.	No
half	She hit the rock and fell off the bike.	No
But	But he couldn't make it work.	Yes
free	She thinks bathing is boring and cold and wet.	No
hear	They hear their dad's voice outside the door.	Yes
they	But it does not do what they want.	Yes
counting	The Cow started counting.	Yes
force	I think you'll love it, Lily.	No
fluttered	Suddenly the butterfly fluttered away.	Yes
all	Everyone in the family was very excited.	No
opened	When she opened it, she saw a wonderful treasure inside!	Yes
what	He helped Lila get what she wanted.	Yes
tasted	He tasted the soup and it was delicious!	Yes
current	The old man smiled and gave her a big hug.	No
application	She finally caught it!	No
well	You will have your own rooms and a big yard.	No
general	They were excited and proud of their teamwork.	No
details	He put on his hat and coat and ran outside.	No
type	They are good friends.	No
seen	Inside the box, Lily found a beautiful dress.	No
They	They have fun.	Yes
wanted	He wanted to help out.	Yes
that	She wishes she did not have that idea.	Yes
body	I know you love your castle.	No
see	She hoped her dad did not see her.	Yes
the	It finds another child in the park.	Yes
him	She smiled when she saw him.	Yes
included	Once there was a little boy named Robby.	No
county	Once upon a time, there was a girl.	No
tell	She went to tell the news to her mom.	Yes
requirements	They were very happy with their work.	No
quick	Bertha was sad and cried.	No
be	You should not be here.	Yes
But	But when she came back, the horse was gone!	Yes
car	She saw a big red spot on his hand.	No
fields	Every day they worked very hard in the fields.	Yes
solutions	His name was Quick.	No
still	She was proud of Lily for being smart and polite.	No
interest	It was called a sunflower.	No
looked	So they looked inside the small theater.	Yes
of	With the help of others, anything is possible!	Yes
mom	It is Lily's mom.	Yes
the	She went to the park with her mom and dad.	Yes
Lily	Lily learned to be careful around sharp objects like needles.	Yes
like	Anna felt like crying.	Yes
was	Once upon a time, there was a furry lion.	Yes
were	Lily and Ben were curious.	Yes
hugged	He hugged her.	Yes
road	Maybe it is still on the road.	Yes
posts	Tom did not like to play or run.	No
opinion	Benny had a big opinion about carrots, he loved them!	Yes
development	He runs away with Lily.	No
welcome	Ben does not listen.	No
Sophie's	But then, Sophie's dad came over to her.	Yes
students	This is one of their favorite stories about Rudolph!	No
smiled	The little girl smiled.	Yes
countries	She loved the feeling of the rain on her skin.	No
next	Tim learned to listen next time.	Yes
two	She went to the kitchen and saw two cereals.	Yes
makes	Timmy loved to drink juice.	No
plans	The face smiled and nodded its head.	No
Tom	Tom and Lily are playing in the park.	Yes
laughed	His dad laughed.	Yes
please	She fell when she ran from the dog.	No
wove	Together, they wove a beautiful rainbow pattern into the sky.	Yes
the	One day, the two friends went to the opera.	Yes
check	Sparkles were shooting out from the town and everyone cheered.	No
port	The prince was very kind and loved to help others.	No
release	Anna and Ben and Lily listen to their mom.	No
new	Mary took many steps forward, discovering new places and things.	Yes
and	Ben felt sad and angry.	Yes
remembered	Jack always remembered.	Yes
Finny	Finny was so proud of his find.	Yes
get	They wanted to get out of the cave.	Yes
quote	Tim and Sam were friends.	No
child	He liked to be a knight and defend it.	No
the	He ran after Lily and tried to grab the net.	Yes
printer	They were always encouraging each other.	No
noise	They hear a noise.	Yes
is	It is a dress.	Yes
€	Her grandma said, â€œItâ€™s my birthday party!	Yes
felt	Jack felt sad because he knew he didn't behave well.	Yes
york	Once upon a time there was a lucky figure.	No
online	She showed them their room.	No
resources	The girls were so proud of their work.	No
and	â€œLetâ€™s go and look at it,â€ said Mandy.	Yes
active	He shivered and quickly looked back.	No
down	Jennifer calmed down and smiled.	Yes
events	He was a very bad barber.	No
any	They do not want any gum.	Yes
function	They want to have their own way.	No
august	Alex had never seen him from before.	No
he	Suddenly, he noticed something shining in a nearby bush.	Yes
a	Once upon a time, there was a boy called John.	Yes
He	He threw the spear at the rabbit and hit it.	Yes
french	They find a lot of junk in the yard.	No
they	Finally, they found it in a park.	Yes
and	Jane nodded and smiled.	Yes
sorry	Sara and Tom say they are sorry.	Yes
duck	He thanks the duck and takes his ball.	Yes
support	She quickly took off the hat and ran inside.	No
to	She loved to explore and play outside.	Yes
receive	Lily's mom heard her singing and came into the room.	No
spoon	He held the magnet near a metal spoon.	Yes
called	The balloon starts to rise in the air.	No
himself	He thought to himself.	Yes
day	One day, Tom was at the park with his Mom.	Yes
licks	He licks his mouth.	Yes
price	You should be grateful for what you have.	No
sad	Lily was sad and started to cry.	Yes
with	But he also likes to play with his stand.	Yes
too	He was scared and cold.	No
They	They did not see the big wave coming.	Yes
tickets	Anna is sad.	No
people	She thought it was nice, but she was hungry.	No
It	It seemed to be a glass box.	Yes
fact	They saw the pile of leaves gone.	No
big	He took a big bite and was very satisfied.	Yes
as	She was very excited as she had a special surprise.	Yes
works	He was big and round.	No
horses	She loved horses very much.	Yes
nodded	Sammy cautiously nodded.	Yes
practice	Lisa giggled and took out her camera.	No
conference	Lazy makes you sad and grumpy.	No
and	She scolded Ben and told him to go away.	Yes
to	They get to the slide first.	Yes
Tom	Tim and Tom look at each other.	Yes
cars	The lady told him stories and they laughed together.	No
lots	Lily and Ben had lots of fun drawing together.	Yes
does	They were angry and making loud noises.	No
delivery	They looked at their work and smiled.	No
that	The beautiful bird felt sad that her magazine was gone.	Yes
review	Lily and Spot played in the grass all day long.	No
terms	And they both enjoyed their soup.	No
big	She saw a big, furry animal in front of her.	Yes
compare	I love you too.	No
during	She sees the note.	No
very	It is very cute.	Yes
They	They liked to play together in the park.	Yes
pull	They pull and push.	Yes
Lily	Milo woke up, and saw Lily crying.	Yes
february	She wanted to succeed.	No
single	Once upon a time, everywhere was dark.	No
companies	Why are you yelling and fighting?	No
couldn't	Toby couldn't wait!	Yes
and	He tried hard, and finally got the rhythm right.	Yes
her	He was deaf and roared at her.	Yes
You	You are very naughty!	Yes
to	Bob was happy to help.	Yes
little	Once there was a little girl named Bella.	Yes
The	The wise old man was so proud of his masterpiece.	Yes
feedback	She picked up her ball and threw it to Spot.	No
a	So, he decided to make a costume.	Yes
questions	Her mom smiled at her and said, â€œSee?	No
to	They wanted to climb it.	Yes
set	They set up a tent in the woods.	Yes
to	She did not want to make her mom sad.	Yes
stock	They were so beautiful.	No
They	They liked to play with rocks and pages.	Yes
although	That is very bad!	No
image	One day, Tom has a gift for Anna.	No
books	She was so happy and yelled out for joy!	No
health	Inside, they found some candy and a funny toy!	No
him	She ran over to him and told him another joke.	Yes
close	The little boy nodded and watched as his mom entered.	No
against	Suddenly, the fox heard a deep voice.	No
weren't	They worked hard, but things weren't going very well.	Yes
software	Mia liked to play outside in the sun.	No
and	She learned something new and had fun.	Yes
date	You are good at marking.	No
the	John liked seeing how friendly the church was.	Yes
take	It wanted to take their ball.	Yes
flew	The butterfly flew away but Jimmy kept staring.	Yes
Finally	She stirred and stirred until Finally, something happened.	Yes
play	Tom wanted to play with his car on the floor.	Yes
benefits	The little girl was excited to have her special shell.	No
is	The man is angry.	Yes
may	Max tried to pull himself free, but he couldn't.	No
Lucy	Lucy was very sad and cried.	Yes
It	It was weird and shiny.	Yes
The	The cat was very sad.	Yes
friend	Lily smiled and bounced on her ball.	No
exchange	He did not want to be friends with Jill anymore.	No
get	He came out of his doghouse and licked her hand.	No
access	Spot and Whiskers smiled, proud of their hard work.	No
She	She enjoyed playing by the sea and watching the waves.	Yes
He	He turned and saw a little girl standing there.	Yes
major	Tom's mom gave Snow some fish to eat.	No
digital	He said he wanted to share his joy with someone.	No
resources	John slowly turned his head and saw a large bird.	No
archives	She takes a wet cloth and wipes their faces.	No
friend	He looked at his friend Lily.	Yes
is	She is happy.	Yes
common	She wasn't worried anymore.	No
competitive	But some of her friends were competitive too.	Yes
girls	She claps her hands and jumps up and down.	No
log	We can decorate it with the flowers.	No
a	She had a pretty blouse that she liked to wear.	Yes
today	But now, everything was gone and Timmy was sad.	No
topics	They make snowballs and snowmen and snow forts.	No
half	The dinosaur broke in half.	Yes
options	He did not want to lose his wool.	No
So	So, Lily and her friends went up to the roof.	Yes
screamed	She screamed and cried.	Yes
that	She carried the mug back to the table.	No
insurance	Her brother had already passed away.	No
side	They each picked one.	No
away	He started by gathering shiny, thick rail to make it.	No
sitting	He saw a bench where Lila's mom was sitting.	Yes
mar	The group decided to try and get the diamond back.	No
effective	He made a big mess.	No
care	But Lily didn't care.	Yes
saw	Inside the school, Lucy saw a big moving file.	Yes
more	She stirred the soup.	No
plants	Mommy watered the plants.	Yes
mar	They hope the owl will like his cake too.	No
new	Bow was happy he could help his new friend.	Yes
left	One day, she saw a pony in the park.	No
if	They asked him if he wanted to play with them.	Yes
them	The man helps them get in the basket.	Yes
same	She loved to visit her grandma's house.	No
loud	It makes a loud noise.	Yes
set	She loved to read books every day.	No
The	The wind blew harder.	Yes
following	They laugh and giggle.	No
member	She wanted to stay forever and admire the lab.	No
each	The friends looked at each other in confusion.	Yes
fire	He walked to the armchair and peeked behind it.	No
She	She sat down on the grass and closed her eyes.	Yes
event	He wanted to sleep in his bed.	No
