input1	input2	label
l	tlf	tf
h	thx	tx
b	bjc	jc
v	vdxj	dxj
z	zqkx	qkx
f	wcfg	wcg
x	gxd	gd
m	qnm	qn
v	vdw	dw
k	jhkn	jhn
k	zkhr	zhr
z	ztd	td
h	mhpq	mpq
x	fcx	fc
f	vbnf	vbn
c	wcz	wz
l	lncr	ncr
s	svdj	vdj
d	ndq	nq
s	jmspd	jmpd
m	bmfv	bfv
j	znj	zn
f	vsjfgk	vsjgk
x	jxqf	jqf
l	klj	kj
z	vmz	vm
h	hsl	sl
r	fwrzj	fwzj
b	npqfzlvxcbw	npqfzlvxcw
p	rpgx	rgx
w	nwhs	nhs
b	cbkg	ckg
c	cbm	bm
s	shzb	hzb
t	tlvgq	lvgq
n	pmnrt	pmrt
z	lftz	lft
v	prv	pr
w	prw	pr
g	kgf	kf
d	dhrfl	hrfl
k	kvb	vb
d	tldg	tlg
j	wjq	wq
h	zqhc	zqc
b	jxtvgbm	jxtvgm
j	jcbw	cbw
w	jbcgfwzd	jbcgfzd
s	kds	kd
f	fxr	xr
l	lskp	skp
h	tnh	tn
b	bzcd	zcd
s	svd	vd
b	cpbh	cph
b	tkbhjm	tkhjm
h	hpwvz	pwvz
j	ljnx	lnx
j	dzjxk	dzxk
f	lfh	lh
t	bptv	bpv
b	ftgjncrb	ftgjncr
x	xnql	nql
m	smcpl	scpl
s	sjvgr	jvgr
j	jxt	xt
z	qfzb	qfb
t	qrtsbfh	qrsbfh
t	ntlw	nlw
d	dxnq	xnq
n	gdnkf	gdkf
b	bczt	czt
x	xvnw	vnw
m	vmb	vb
p	hgrdpt	hgrdt
w	rsw	rs
f	wzfv	wzv
q	lqhz	lhz
m	tnmg	tng
w	phwc	phc
l	vxchl	vxch
f	tfpb	tpb
f	hdf	hd
x	xlbz	lbz
r	bslfr	bslf
f	rfj	rj
z	bgfzdk	bgfdk
x	sqtxj	sqtj
h	zdjh	zdj
h	thjw	tjw
r	sqrz	sqz
x	fzxc	fzc
m	wnqm	wnq
n	wzlnhfvq	wzlhfvq
n	vjlzn	vjlz
r	bgr	bg
d	lgxd	lgx
s	vszj	vzj
g	gsnp	snp
q	msvbqg	msvbg
s	jghsnrk	jghnrk
b	bprjxn	prjxn
b	cbgq	cgq
d	dxh	xh
k	kdpv	dpv
n	nhp	hp
d	bzmdkj	bzmkj
f	hslfbz	hslbz
t	tvnb	vnb
b	hklbnw	hklnw
v	svmrzdcgq	smrzdcgq
