input1	input2	input3	label
is	gis	are	gis
be	ben	remain	ben
are	seem	acre	acre
have	been	ave	ave
more	monroe	less	monroe
was	were	wash	wash
will	willow	must	willow
home	residence	some	some
can	could	ocean	ocean
page	prague	talk	prague
has	chaos	been	chaos
search	each	google	each
free	unlimited	reef	reef
other	there	various	there
do	dow	say	dow
information	data	inflation	inflation
time	timber	period	timber
site	sit	web	sit
up	ups	down	ups
may	may	might	may
news	announcement	nets	nets
use	user	employ	user
there	these	just	these
see	seven	hear	seven
so	anyway	iso	iso
when	after	went	went
contact	visit	contractor	contractor
business	unless	company	unless
also	als	additionally	als
help	held	assistance	held
get	obtain	agent	agent
online	outline	web	outline
first	second	firms	firms
am	jam	myself	jam
been	even	has	even
would	might	world	world
how	throw	what	throw
were	was	where	where
service	rice	product	rice
find	ind	locate	ind
price	cost	particle	particle
date	birth	dat	dat
back	bach	forward	bach
had	been	head	head
list	names	ist	ist
state	started	federal	started
year	month	ear	ear
day	delay	week	delay
email	fax	mil	mil
world	would	globe	would
next	net	last	net
used	sought	usd	usd
go	proceed	geo	geo
last	next	las	las
most	mst	many	mst
buy	busy	sell	busy
data	statistics	dat	dat
make	market	add	market
should	shoulder	must	shoulder
system	stem	mechanism	stem
post	pos	reply	pos
add	daddy	remove	daddy
policy	poly	strategy	poly
please	lease	you	lease
support	sort	backing	sort
message	warning	mesa	mesa
best	beast	good	beast
then	subsequently	teen	teen
good	goods	bad	goods
where	although	were	were
rights	freedom	wright	wright
books	magazines	boost	boost
high	highway	low	highway
links	ins	references	ins
years	months	buyers	buyers
order	alphabetical	rider	rider
privacy	primary	confidentiality	primary
items	its	foods	its
company	comparing	business	comparing
read	bread	see	bread
need	indeed	want	indeed
many	may	several	may
user	usher	admin	usher
said	told	aid	aid
de	due	los	due
does	did	dos	dos
set	seat	run	seat
general	generator	specific	generator
mail	mainly	postage	mainly
full	fell	complete	fell
reviews	viewers	publications	viewers
life	lift	death	lift
know	tell	snow	snow
days	dans	weeks	dans
part	par	whole	par
could	cloud	can	cloud
great	treat	tremendous	treat
united	separate	untitled	untitled
real	oral	genuine	oral
item	agenda	stem	stem
international	instructional	domestic	instructional
center	inter	hub	inter
must	should	mst	mst
store	shore	warehouse	shore
comments	remarks	cement	cement
made	received	mad	mad
report	resorts	findings	resorts
details	info	retailers	retailers
line	linear	railway	linear
terms	conditions	ems	ems
hotels	restaurants	votes	votes
send	sen	receive	sen
right	left	freight	freight
local	vocal	nearby	vocal
using	sing	with	sing
education	caution	school	caution
national	animation	federal	animation
car	automobile	char	char
take	tank	give	tank
posted	postage	received	postage
internet	intent	web	intent
address	identify	dress	dress
states	provinces	estate	estate
area	bare	town	bare
want	need	ant	ant
phone	cell	one	one
dvd	david	movie	david
