input1	input2	input3	label
is	gis	are	are
be	ben	remain	remain
are	seem	acre	seem
have	been	ave	been
more	monroe	less	less
was	were	wash	were
will	willow	must	must
home	residence	some	residence
can	could	ocean	could
page	prague	talk	talk
has	chaos	been	been
search	each	google	google
free	unlimited	reef	unlimited
other	there	various	various
do	dow	say	say
information	data	inflation	data
time	timber	period	period
site	sit	web	web
up	ups	down	down
may	may	might	might
news	announcement	nets	announcement
use	user	employ	employ
there	these	just	just
see	seven	hear	hear
so	anyway	iso	anyway
when	after	went	after
contact	visit	contractor	visit
business	unless	company	company
also	als	additionally	additionally
help	held	assistance	assistance
get	obtain	agent	obtain
online	outline	web	web
first	second	firms	second
am	jam	myself	myself
been	even	has	has
would	might	world	might
how	throw	what	what
were	was	where	was
service	rice	product	product
find	ind	locate	locate
price	cost	particle	cost
date	birth	dat	birth
back	bach	forward	forward
had	been	head	been
list	names	ist	names
state	started	federal	federal
year	month	ear	month
day	delay	week	week
email	fax	mil	fax
world	would	globe	globe
next	net	last	last
used	sought	usd	sought
go	proceed	geo	proceed
last	next	las	next
most	mst	many	many
buy	busy	sell	sell
data	statistics	dat	statistics
make	market	add	add
should	shoulder	must	must
system	stem	mechanism	mechanism
post	pos	reply	reply
add	daddy	remove	remove
policy	poly	strategy	strategy
please	lease	you	you
support	sort	backing	backing
message	warning	mesa	warning
best	beast	good	good
then	subsequently	teen	subsequently
good	goods	bad	bad
where	although	were	although
rights	freedom	wright	freedom
books	magazines	boost	magazines
high	highway	low	low
links	ins	references	references
years	months	buyers	months
order	alphabetical	rider	alphabetical
privacy	primary	confidentiality	confidentiality
items	its	foods	foods
company	comparing	business	business
read	bread	see	see
need	indeed	want	want
many	may	several	several
user	usher	admin	admin
said	told	aid	told
de	due	los	los
does	did	dos	did
set	seat	run	run
general	generator	specific	specific
mail	mainly	postage	postage
full	fell	complete	complete
reviews	viewers	publications	publications
life	lift	death	death
know	tell	snow	tell
days	dans	weeks	weeks
part	par	whole	whole
could	cloud	can	can
great	treat	tremendous	tremendous
united	separate	untitled	separate
real	oral	genuine	genuine
item	agenda	stem	agenda
international	instructional	domestic	domestic
center	inter	hub	hub
must	should	mst	should
store	shore	warehouse	warehouse
comments	remarks	cement	remarks
made	received	mad	received
report	resorts	findings	findings
details	info	retailers	info
line	linear	railway	railway
terms	conditions	ems	conditions
hotels	restaurants	votes	restaurants
send	sen	receive	receive
right	left	freight	left
local	vocal	nearby	nearby
using	sing	with	with
education	caution	school	school
national	animation	federal	federal
car	automobile	char	automobile
take	tank	give	give
posted	postage	received	received
internet	intent	web	web
address	identify	dress	identify
states	provinces	estate	provinces
