input1	input2	input3	label
h	c	the	tce
n	d	and	add
f	a	for	aor
t	c	that	chac
h	g	this	tgis
i	w	with	wwth
o	a	you	yau
o	p	not	npt
a	u	are	ure
m	j	from	froj
u	i	your	yoir
a	p	all	pll
a	f	have	hfve
w	r	new	ner
o	g	more	mgre
s	x	was	wax
w	s	will	sill
m	e	home	hoee
n	i	can	cai
u	v	about	abovt
a	m	page	pmge
s	h	has	hah
r	t	search	seatch
f	f	free	free
t	b	but	bub
o	e	our	eur
n	j	one	oje
t	s	other	osher
i	f	information	fnformatfon
t	b	time	bime
h	z	they	tzey
i	l	site	slte
y	h	may	mah
a	v	what	whvt
c	n	which	whinh
h	a	their	taeir
s	q	news	newq
t	i	out	oui
u	b	use	bse
n	i	any	aiy
t	i	there	ihere
e	h	see	shh
o	v	only	vnly
h	j	his	jis
h	s	when	wsen
a	p	contact	contpct
r	z	here	heze
u	d	business	bdsiness
h	r	who	wro
b	g	web	weg
o	n	also	alsn
o	o	now	now
e	n	help	hnlp
e	b	get	gbt
i	m	view	vmew
e	z	online	onlinz
s	y	first	firyt
n	m	been	beem
o	g	would	wguld
h	n	how	now
r	j	were	weje
c	g	services	serviges
s	e	some	eome
h	z	these	tzese
i	t	click	cltck
s	q	its	itq
i	l	like	llke
e	h	service	shrvich
h	s	than	tsan
d	d	find	find
p	h	price	hrice
t	b	date	dabe
a	d	back	bdck
o	t	top	ttp
l	e	people	peopee
d	j	had	haj
s	q	list	liqt
m	n	name	nane
t	q	just	jusq
o	j	over	jver
t	z	state	szaze
a	b	year	yebr
d	g	day	gay
o	f	into	intf
a	r	email	emril
t	i	two	iwo
t	j	health	healjh
r	m	world	womld
t	l	next	nexl
s	e	used	ueed
w	x	work	xork
l	k	last	kast
s	a	most	moat
t	d	products	producds
c	b	music	musib
u	z	buy	bzy
a	x	data	dxtx
k	g	make	mage
m	b	them	theb
d	u	should	shoulu
u	h	product	prodhct
s	k	system	kyktem
s	s	post	post
e	q	her	hqr
i	v	city	cvty
d	t	add	att
c	r	policy	poliry
m	w	number	nuwber
h	p	such	sucp
s	c	please	pleace
l	o	available	avaioaboe
r	b	copyright	copybight
u	v	support	svpport
s	n	message	mennage
r	f	after	aftef
s	i	best	beit
a	o	software	softwore
e	u	then	thun
j	x	jan	xan
d	p	good	goop
e	x	video	vidxo
w	e	well	eell
e	o	where	whoro
f	c	info	inco
r	e	rights	eights
c	t	public	publit
k	z	books	boozs
g	k	high	hikh
h	l	school	sclool
h	c	through	tcrougc
e	r	each	rach
k	d	links	linds
e	b	she	shb
r	y	review	yeview
y	k	years	kears
d	n	order	orner
y	b	very	verb
c	v	privacy	privavy
k	g	book	boog
t	j	items	ijems
o	d	company	cdmpany
a	s	read	resd
r	v	group	gvoup
s	h	sex	hex
e	z	need	nzzd
a	e	many	meny
u	f	user	fser
s	t	said	taid
e	r	does	dors
t	s	set	ses
r	z	under	undez
r	b	general	genebal
h	r	research	researcr
t	j	university	universijy
r	z	january	januazy
m	j	mail	jail
u	p	full	fpll
a	b	map	mbp
s	q	reviews	reviewq
m	c	program	prograc
l	n	life	nife
w	m	know	knom
g	h	games	hames
a	m	way	wmy
y	e	days	daes
t	q	management	managemenq
a	m	part	pmrt
d	d	could	could
t	z	great	greaz
n	i	united	uiited
e	x	hotel	hotxl
e	d	real	rdal
e	b	item	itbm
l	e	international	internationae
e	x	center	cxntxr
b	k	ebay	ekay
m	c	must	cust
t	t	store	store
e	o	travel	travol
s	s	comments	comments
d	h	made	mahe
e	b	development	dbvblopmbnt
e	s	report	rsport
o	d	off	dff
b	m	member	memmer
s	o	details	detailo
i	p	line	lpne
e	c	terms	tcrms
f	o	before	beoore
h	q	hotels	qotels
d	f	did	fif
s	d	send	dend
h	k	right	rigkt
p	f	type	tyfe
u	p	because	becapse
c	s	local	losal
t	y	those	yhose
u	q	using	qsing
u	g	results	resglts
o	s	office	sffice
c	q	education	eduqation
l	q	national	nationaq
c	g	car	gar
n	d	design	desigd
t	s	take	sake
e	k	posted	postkd
i	w	internet	wnternet
r	h	address	addhess
n	n	community	community
n	z	within	withiz
e	d	states	statds
a	t	area	tret
n	c	want	wact
h	v	phone	pvone
d	h	dvd	hvh
g	y	shipping	shippiny
e	x	reserved	rxsxrvxd
j	m	subject	submect
t	u	between	beuween
f	y	forum	yorum
f	x	family	xamily
l	n	long	nong
s	a	based	baaed
c	u	code	uode
w	q	show	shoq
v	c	even	ecen
b	z	black	zlack
c	h	check	hhehk
a	j	special	specijl
p	q	prices	qrices
s	v	website	webvite
e	x	index	indxx
g	o	being	beino
m	j	women	wojen
h	o	much	muco
s	e	sign	eign
e	a	file	fila
n	r	link	lirk
e	g	open	opgn
d	e	today	toeay
o	i	technology	techniligy
o	t	south	stuth
s	b	case	cabe
r	s	project	psoject
m	a	same	saae
e	m	pages	pagms
v	h	version	hersion
o	c	section	secticn
w	p	own	opn
o	b	found	fbund
r	n	sports	sponts
s	a	house	houae
t	n	related	relaned
r	o	security	secuoity
o	p	both	bpth
u	u	county	county
e	s	american	amsrican
t	k	photo	phoko
e	e	game	game
e	x	members	mxmbxrs
e	c	power	powcr
i	a	while	whale
a	w	care	cwre
e	r	network	nrtwork
d	h	down	hown
m	f	computer	cofputer
s	u	systems	uyutemu
e	p	three	thrpp
a	g	total	totgl
e	j	place	placj
d	l	end	enl
g	r	following	followinr
a	f	download	downlofd
h	p	him	pim
w	w	without	without
r	s	per	pes
s	g	access	accegg
k	p	think	thinp
o	c	north	ncrth
s	d	resources	redourced
t	e	current	currene
s	l	posts	poltl
b	f	big	fig
d	d	media	media
w	g	law	lag
o	o	control	control
r	j	water	watej
h	r	history	ristory
u	o	pictures	pictores
z	y	size	siye
t	j	art	arj
e	c	personal	pcrsonal
n	d	since	sidce
l	g	including	incguding
g	o	guide	ouide
h	d	shop	sdop
c	e	directory	direetory
o	q	board	bqard
n	e	location	locatioe
c	z	change	zhange
h	h	white	white
t	q	text	qexq
s	j	small	jmall
i	j	rating	ratjng
r	s	rate	sate
n	r	government	goverrmert
n	h	children	childreh
d	c	during	curing
s	f	usa	ufa
r	h	return	hetuhn
d	a	students	stuaents
h	d	shopping	sdopping
o	c	account	acccunt
i	x	times	txmes
s	v	sites	vitev
e	h	level	lhvhl
g	n	digital	dinital
i	d	profile	profdle
r	m	previous	pmevious
m	a	form	fora
t	l	events	evenls
v	u	love	loue
l	a	old	oad
n	q	john	johq
i	y	main	mayn
a	n	call	cnll
r	y	hours	houys
m	q	image	iqage
p	u	department	deuartment
l	f	title	titfe
o	h	description	descriptihn
n	y	non	yoy
e	t	insurance	insuranct
h	s	another	anotser
h	m	why	wmy
a	x	shall	shxll
p	q	property	qroqerty
l	b	class	cbass
i	x	still	stxll
n	k	money	mokey
y	l	quality	qualitl
r	x	every	evexy
g	j	listing	listinj
t	z	content	conzenz
c	z	country	zountry
i	r	private	prrvate
l	q	little	qittqe
s	p	visit	vipit
a	b	save	sbve
t	j	tools	jools
l	o	low	oow
r	v	reply	veply
c	g	customer	gustomer
d	b	december	becember
r	o	compare	compaoe
s	z	movies	moviez
u	s	include	inclsde
c	p	college	pollege
u	i	value	valie
c	k	article	artikle
o	n	york	ynrk
m	i	man	ian
c	p	card	pard
b	c	jobs	jocs
v	o	provide	prooide
f	l	food	lood
s	a	source	aource
t	l	author	aulhor
f	p	different	dipperent
r	y	press	pyess
e	o	learn	loarn
e	t	sale	salt
u	n	around	aronnd
t	n	print	prinn
o	y	course	cyurse
b	i	job	joi
n	f	canada	cafada
o	w	process	prwcess
e	p	teen	tppn
r	x	room	xoom
k	l	stock	stocl
g	e	training	trainine
o	e	too	tee
i	c	credit	credct
i	t	point	potnt
j	f	join	foin
i	v	science	scvence
m	x	men	xen
t	g	categories	cagegories
e	k	advanced	advanckd
t	m	west	wesm
l	i	sales	saies
k	h	look	looh
s	v	english	englivh
e	k	left	lkft
t	y	team	yeam
e	l	estate	lstatl
x	s	box	bos
n	o	conditions	cooditioos
t	v	select	selecv
n	g	windows	wigdows
t	p	photos	phopos
g	b	gay	bay
d	j	thread	threaj
k	t	week	weet
t	p	category	capegory
n	u	note	uote
i	i	live	live
l	y	large	yarge
e	n	gallery	gallnry
b	g	table	tagle
i	i	register	register
v	m	however	howemer
n	t	june	jute
e	m	october	octobmr
r	d	november	novembed
k	m	market	marmet
l	a	library	aibrary
y	b	really	reallb
t	v	action	acvion
r	f	start	staft
s	x	series	xeriex
o	u	model	mudel
r	j	features	featujes
a	d	air	dir
i	h	industry	hndustry
p	p	plan	plan
m	q	human	huqan
v	l	provided	prolided
s	k	yes	yek
i	y	required	requyred
c	p	second	sepond
h	o	hot	oot
c	a	accessories	aaaessories
o	z	cost	czst
e	y	movie	moviy
m	c	forums	forucs
c	u	march	maruh
p	p	september	september
b	x	better	xetter
a	k	say	sky
n	b	questions	questiobs
y	c	july	julc
y	w	yahoo	wahoo
n	o	going	goiog
m	x	medical	xedical
e	g	test	tgst
f	y	friend	yriend
e	g	come	comg
e	b	dec	dbc
e	s	server	ssrvsr
t	e	study	seudy
i	v	application	applvcatvon
r	o	cart	caot
t	d	staff	sdaff
c	t	articles	artitles
n	g	san	sag
e	t	feedback	fttdback
a	a	again	again
l	r	play	pray
l	r	looking	rooking
e	r	issues	issurs
a	t	april	tpril
r	d	never	neved
r	j	users	usejs
e	m	complete	complmtm
s	e	street	etreet
p	f	topic	tofic
m	o	comment	coooent
a	p	financial	finpncipl
i	q	things	thqngs
o	v	working	wvrking
n	s	against	agaisst
a	k	standard	stkndkrd
x	y	tax	tay
s	r	person	perron
l	o	below	beoow
i	b	mobile	mobble
s	a	less	leaa
o	o	got	got
g	k	blog	blok
a	x	party	pxrty
e	y	payment	paymynt
m	g	equipment	equipgent
