input1	input2	input3	label
b	c	fbx	fcx
s	b	hls	hlb
m	n	mwn	nwn
d	a	dlnq	alnq
n	c	nljt	cljt
n	n	npkf	npkf
l	z	ldv	zdv
v	u	zvm	zum
l	q	dtl	dtq
h	y	nhqd	nyqd
k	b	jkfd	jbfd
h	r	hrc	rrc
k	k	mwlk	mwlk
k	n	gxk	gxn
z	u	ftwz	ftwu
w	d	bzw	bzd
l	e	dqlm	dqem
v	a	pwqv	pwqa
b	q	dbx	dqx
n	l	znkpq	zlkpq
q	q	qfks	qfks
q	s	crq	crs
b	c	xpnbqt	xpncqt
h	h	vkhs	vkhs
j	x	xtj	xtx
f	c	qfc	qcc
r	n	lzr	lzn
x	f	cxrnd	cfrnd
h	n	lbthsczdgkw	lbtnsczdgkw
d	y	jkdx	jkyx
l	j	gvls	gvjs
g	o	szgh	szoh
d	i	drv	irv
j	o	jfbx	ofbx
x	n	xrjkw	nrjkw
p	s	jtlpx	jtlsx
h	e	hjxb	ejxb
p	t	gpf	gtf
d	p	dpc	ppc
q	e	ptq	pte
m	q	mchwr	qchwr
k	c	fkp	fcp
t	l	qwgt	qwgl
p	x	wpx	wxx
n	b	wnds	wbds
j	r	mljbstw	mlrbstw
z	g	fzhp	fghp
h	x	wdzskrfh	wdzskrfx
w	b	wrg	brg
s	g	sfn	gfn
v	v	qlvx	qlvx
t	o	tkh	okh
b	y	hbqn	hyqn
z	q	ldz	ldq
x	z	bxhd	bzhd
f	k	rzfktn	rzkktn
m	d	fpqmh	fpqdh
s	c	bksv	bkcv
c	n	bcsqk	bnsqk
t	q	tjc	qjc
w	u	fwcx	fucx
f	g	cjfsgxhv	cjgsgxhv
b	s	btld	stld
v	n	cnvpd	cnnpd
t	j	dxtgw	dxjgw
f	n	fzh	nzh
l	x	lkzt	xkzt
v	d	vgxhpfb	dgxhpfb
s	o	gjst	gjot
m	z	zktm	zktz
l	u	chnbl	chnbu
v	t	mzvp	mztp
h	w	rhtw	rwtw
l	m	lwh	mwh
r	v	fmxrgq	fmxvgq
x	s	dxz	dsz
k	u	glkm	glum
j	d	bxjf	bxdf
l	x	qlgp	qxgp
d	e	dqns	eqns
d	l	lqxjd	lqxjl
m	u	mhgf	uhgf
t	x	qtc	qxc
c	a	jscm	jsam
m	f	xmlwp	xflwp
c	k	zcv	zkv
x	g	tmbzhx	tmbzhg
m	q	bkqmz	bkqqz
p	s	jbzp	jbzs
z	q	wksz	wksq
s	k	rpvs	rpvk
q	z	cpmq	cpmz
h	g	hspv	gspv
z	a	jqlswkpz	jqlswkpa
h	b	lhzdr	lbzdr
h	r	qnh	qnr
g	f	gmvd	fmvd
v	h	vrhs	hrhs
g	n	gpfk	npfk
n	h	gbhzmn	gbhzmh
s	x	skvjmdw	xkvjmdw
b	a	bpmdjq	apmdjq
q	c	lkrq	lkrc
n	o	ngj	ogj
m	d	bmrv	bdrv
j	l	gsj	gsl
l	n	klchpb	knchpb
m	m	mjpchx	mjpchx
g	n	hngb	hnnb
d	p	klvfwd	klvfwp
c	d	wxpmfthsc	wxpmfthsd
g	v	wshckpxfg	wshckpxfv
v	v	dqtvrxc	dqtvrxc
n	y	tgmcqnd	tgmcqyd
h	r	whjsg	wrjsg
f	g	qfzj	qgzj
m	w	slbczvmw	slbczvww
j	z	xjhg	xzhg
x	a	xcp	acp
t	t	fptk	fptk
s	j	fpsxq	fpjxq
w	m	whvg	mhvg
b	r	qbjdf	qrjdf
j	n	bmgj	bmgn
t	a	tdgcrv	adgcrv
t	e	blfvct	blfvce
f	r	xfmvk	xrmvk
v	j	xrvh	xrjh
p	l	thsbjp	thsbjl
b	s	tnbjlgs	tnsjlgs
x	r	wxzn	wrzn
m	u	phmgk	phugk
v	i	vfn	ifn
k	y	cdqkzr	cdqyzr
p	e	dwptx	dwetx
t	e	kctsz	kcesz
m	c	hmtf	hctf
z	s	svxhkpz	svxhkps
j	d	jxbl	dxbl
z	m	qkzvm	qkmvm
c	o	bcjkmwf	bojkmwf
m	c	vlmg	vlcg
b	n	dbqhc	dnqhc
j	y	jtm	ytm
v	q	wmvp	wmqp
v	v	rbvc	rbvc
b	q	ntbx	ntqx
s	t	wqsv	wqtv
k	i	kthd	ithd
h	g	lhr	lgr
s	u	ntdsp	ntdup
r	e	fgrtklm	fgetklm
z	o	lzcvgbqf	locvgbqf
m	a	mzglqhbpwj	azglqhbpwj
p	u	jhpvrdt	jhuvrdt
