input1	input2	input3	label
d	h	ndh	nhd
c	x	xrc	crx
j	q	jqw	qjw
c	r	rdpc	cdpr
h	l	hjkl	ljkh
k	z	kxpz	zxpk
z	g	cgz	czg
l	p	lfp	pfl
v	j	vjp	jvp
f	j	fjws	jfws
t	c	wtcg	wctg
x	l	bxl	blx
l	h	qhln	qlhn
c	z	zcd	czd
r	s	sxrl	rxsl
p	g	gpc	pgc
z	p	zrtp	prtz
q	h	vqzh	vhzq
v	f	vcf	fcv
c	h	hkctv	ckhtv
j	d	jdvb	djvb
t	r	rdt	tdr
b	v	hvncbt	hbncvt
h	t	gtch	ghct
p	m	pmb	mpb
k	t	tkx	ktx
g	m	gmw	mgw
q	n	nbqks	qbnks
l	w	zxrwjmpslqc	zxrljmpswqc
k	p	kcpt	pckt
s	d	sndh	dnsh
g	t	gdht	tdhg
x	k	xjk	kjx
s	p	pwsh	swph
l	j	jlqkn	ljqkn
j	k	kcfjv	jcfkv
w	f	fcwb	wcfb
x	n	xnl	nxl
v	b	svb	sbv
q	b	vqb	vbq
b	p	hcbpr	hcpbr
s	x	fxs	fsx
c	r	rjtc	cjtr
q	b	qfb	bfq
p	r	rlph	plrh
l	w	tqwrnbl	tqlrnbw
w	z	xzhw	xwhz
d	l	lwnpgchd	dwnpgchl
p	f	pfv	fpv
d	h	xdh	xhd
t	l	qtnl	qlnt
c	z	czh	zch
n	v	vnjm	nvjm
c	x	xgc	cgx
b	g	bgtd	gbtd
s	m	vlkmsn	vlksmn
b	h	nbchj	nhcbj
q	n	snrq	sqrn
f	n	xqndf	xqfdn
c	x	xcj	cxj
j	k	kpgj	jpgk
x	b	qnwxlghb	qnwblghx
w	q	zqhw	zwhq
s	r	ptqsr	ptqrs
l	g	mfhlg	mfhgl
w	d	wjd	djw
f	z	fgzk	zgfk
b	p	twmbphz	twmpbhz
n	d	dngh	ndgh
p	z	qzwp	qpwz
q	l	xdqfl	xdlfq
h	s	dhsn	dshn
x	v	vxqk	xvqk
f	p	fqp	pqf
n	c	cnxvhw	ncxvhw
v	p	fpv	fvp
q	w	qnwv	wnqv
s	n	nsrc	snrc
h	x	lhgx	lxgh
z	c	mgcz	mgzc
w	m	mfdgw	wfdgm
f	l	dgfl	dglf
v	l	lvd	vld
s	g	sdgk	gdsk
r	g	blrgv	blgrv
f	r	rft	frt
v	q	rlqckv	rlvckq
w	r	wrkzq	rwkzq
k	b	rbqk	rkqb
w	x	pxwj	pwxj
g	j	jgwt	gjwt
q	p	qzpm	pzqm
t	d	twrd	dwrt
c	f	fknlmxcq	cknlmxfq
w	q	qgdwr	wgdqr
r	m	srm	smr
d	f	dkfp	fkdp
w	x	rwxl	rxwl
b	q	bvjq	qvjb
f	z	tdgfzx	tdgzfx
l	x	qrslxnv	qrsxlnv
s	h	sfkcwh	hfkcws
j	x	jqdx	xqdj
j	z	xzj	xjz
k	v	kvbh	vkbh
m	n	mgn	ngm
w	l	brwclk	brlcwk
j	w	wjpvzs	jwpvzs
m	d	dwgm	mwgd
v	c	mcjvdp	mvjcdp
b	s	bwsrqlhmd	swbrqlhmd
p	z	gsqwrpzxc	gsqwrzpxc
q	f	xmpfhzq	xmpqhzf
x	r	xhckrzj	rhckxzj
k	n	lfnkr	lfknr
w	f	fkbw	wkbf
z	g	gwcvdzrt	zwcvdgrt
g	d	pdgq	pgdq
p	m	qmp	qpm
s	n	tsrn	tnrs
s	z	nzcsj	nsczj
n	h	nhzl	hnzl
l	t	tzwlj	lzwtj
s	m	shmd	mhsd
x	b	bxcpfk	xbcpfk
w	l	trkwjl	trkljw
j	f	znjfs	znfjs
v	l	fvlp	flvp
h	k	spbkhv	spbhkv
